id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
537424,2026-06-30T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:42Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537425,2026-06-30T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:42Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537421,2026-07-01T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:41Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537422,2026-07-01T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:41Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537426,2026-07-01T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:43Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537419,2026-07-02T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:40Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537420,2026-07-02T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:40Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537429,2026-07-02T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:44Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537427,2026-07-03T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:43Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537428,2026-07-03T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:44Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537430,2026-07-03T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:45Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537375,2026-07-04T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537376,2026-07-04T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537377,2026-07-05T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537378,2026-07-05T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537379,2026-07-06T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537380,2026-07-06T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537381,2026-07-07T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537382,2026-07-07T00:00:00Z,SCHEDULED,0,LAST_16,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537383,2026-07-09T00:00:00Z,SCHEDULED,0,QUARTER_FINALS,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537384,2026-07-10T00:00:00Z,SCHEDULED,0,QUARTER_FINALS,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537385,2026-07-11T00:00:00Z,SCHEDULED,0,QUARTER_FINALS,,2025-06-18T14:03:31Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537386,2026-07-11T00:00:00Z,SCHEDULED,0,QUARTER_FINALS,,2025-06-18T14:03:32Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537387,2026-07-14T00:00:00Z,SCHEDULED,0,SEMI_FINALS,,2025-06-18T14:03:32Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537388,2026-07-15T00:00:00Z,SCHEDULED,0,SEMI_FINALS,,2025-06-18T14:03:32Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537389,2026-07-18T00:00:00Z,SCHEDULED,0,ALL,,2025-06-18T14:03:32Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
537390,2026-07-19T00:00:00Z,SCHEDULED,0,FINAL,,2025-06-18T14:03:33Z,[],2267,World,INT,,2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,2398,2026-06-11,2026-07-19,1,,,,,,,,,,,,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
